case_id,turb,task,group,flux,x,y,z,quantity,last,mean_tail,std_tail,file
kw_task1_g1_x1_y2_z2_AUSM,kw,1,1,AUSM,1,2,2.0,Cd,0.1097397864262067,0.10977179729804326,2.3167108205629373e-05,kw\task1\1\cd_1_2_2_AUSM.out
kw_task1_g1_x1_y2_z2_Roe,kw,1,1,Roe,1,2,2.0,Cd,0.09748266865102635,0.09745308894398921,1.557486296820635e-05,kw\task1\1\cd_1_2_2_Roe.out
kw_task1_g1_x1_y2_z2_AUSM,kw,1,1,AUSM,1,2,2.0,Cl,-1.276266106855406,-1.2764547674538376,0.00013451357774263924,kw\task1\1\cl_1_2_2_AUSM.out
kw_task1_g1_x1_y2_z2_Roe,kw,1,1,Roe,1,2,2.0,Cl,-1.280801938423703,-1.2806691265426084,0.00010836927214447028,kw\task1\1\cl_1_2_2_Roe.out
kw_task1_g1_x1_y2_z2_AUSM,kw,1,1,AUSM,1,2,2.0,Cp_points,150.0,-0.26398131533333336,0.7824727432489909,kw\task1\1\kw_1_2_2_AUSM.txt
kw_task1_g1_x1_y2_z2_Roe,kw,1,1,Roe,1,2,2.0,Cp_points,150.0,-0.28559518533333333,0.7985698899834811,kw\task1\1\kw_1_2_2_Roe.txt
kw_task1_g2_x1_y1_z1_AUSM,kw,1,2,AUSM,1,1,1.0,Cd,0.1102681728405046,0.11028147909008261,1.2739206495590893e-05,kw\task1\2\cd_1_1_1_AUSM.out
kw_task1_g2_x1_y2_z2_AUSM,kw,1,2,AUSM,1,2,2.0,Cd,0.1097397864262067,0.10977179729804326,2.3167108205629373e-05,kw\task1\2\cd_1_2_2_AUSM.out
kw_task1_g2_x2_y1_z1_AUSM,kw,1,2,AUSM,2,1,1.0,Cd,0.03070995930942162,0.02958983086843386,0.0011322817423074394,kw\task1\2\cd_2_1_1_AUSM.out
kw_task1_g2_x2_y2_z2_AUSM,kw,1,2,AUSM,2,2,2.0,Cd,0.02929772683683568,0.02923840524280936,0.0007364009032274337,kw\task1\2\cd_2_2_2_AUSM.out
kw_task1_g2_x1_y1_z1_AUSM,kw,1,2,AUSM,1,1,1.0,Cl,-1.279955687731895,-1.2802110826169266,0.00018079165461398658,kw\task1\2\cl_1_1_1_AUSM.out
kw_task1_g2_x1_y2_z2_AUSM,kw,1,2,AUSM,1,2,2.0,Cl,-1.276266106855406,-1.2764547674538376,0.00013451357774263924,kw\task1\2\cl_1_2_2_AUSM.out
kw_task1_g2_x2_y1_z1_AUSM,kw,1,2,AUSM,2,1,1.0,Cl,-1.439538463688142,-1.4452724680797615,0.00691192503278112,kw\task1\2\cl_2_1_1_AUSM.out
kw_task1_g2_x2_y2_z2_AUSM,kw,1,2,AUSM,2,2,2.0,Cl,-1.44122527781747,-1.4432134678894724,0.0044346685759675325,kw\task1\2\cl_2_2_2_AUSM.out
kw_task1_g2_x1_y1_z1_AUSM,kw,1,2,AUSM,1,1,1.0,Cp_points,150.0,-0.264774536,0.7840962153724874,kw\task1\2\kw_1_1_1_AUSM.txt
kw_task1_g2_x1_y2_z2_AUSM,kw,1,2,AUSM,1,2,2.0,Cp_points,150.0,-0.26398131533333336,0.7824727432489909,kw\task1\2\kw_1_2_2_AUSM.txt
kw_task1_g2_x2_y1_z1_AUSM,kw,1,2,AUSM,2,1,1.0,Cp_points,150.0,-0.49605877353333333,1.0863007850870474,kw\task1\2\kw_2_1_1_AUSM.txt
kw_task1_g2_x2_y2_z2_AUSM,kw,1,2,AUSM,2,2,2.0,Cp_points,150.0,-0.4984234373999999,1.0898666754589543,kw\task1\2\kw_2_2_2_AUSM.txt
sa_task1_g1_x1_y2_AUSM,sa,1,1,AUSM,1,2,,Cd,0.1051508538938532,0.10515514418362727,8.50722386891111e-06,sa\task1\1\cd_1_2_AUSM.out
sa_task1_g1_x1_y2_Roe,sa,1,1,Roe,1,2,,Cd,0.093203500497563,0.0931954791227373,3.92725636760817e-06,sa\task1\1\cd_1_2_Roe.out
sa_task1_g1_x1_y2_AUSM,sa,1,1,AUSM,1,2,,Cl,-1.268407063340244,-1.2682547806443958,0.00010214730528265466,sa\task1\1\cl_1_2_AUSM.out
sa_task1_g1_x1_y2_Roe,sa,1,1,Roe,1,2,,Cl,-1.266385085903018,-1.2660888072362402,0.00020502547883139308,sa\task1\1\cl_1_2_Roe.out
sa_task1_g1_x1_y2_AUSM,sa,1,1,AUSM,1,2,,Cp_points,150.0,-0.26161312133333336,0.7792364840078415,sa\task1\1\sa_1_2_AUSM.txt
sa_task1_g1_x1_y2_Roe,sa,1,1,Roe,1,2,,Cp_points,150.0,-0.283228724,0.7921139900566144,sa\task1\1\sa_1_2_Roe.txt
sa_task1_g2_x1_y1_AUSM,sa,1,2,AUSM,1,1,,Cd,0.1067680203032879,0.10678593420524597,1.805446986692032e-05,sa\task1\2\cd_1_1_AUSM.out
sa_task1_g2_x1_y2_AUSM,sa,1,2,AUSM,1,2,,Cd,0.1051508538938532,0.10515514418362727,8.50722386891111e-06,sa\task1\2\cd_1_2_AUSM.out
sa_task1_g2_x2_y1_AUSM,sa,1,2,AUSM,2,1,,Cd,0.02700551947863992,0.027071570069933805,0.000161914732701456,sa\task1\2\cd_2_1_AUSM.out
sa_task1_g2_x2_y2_AUSM,sa,1,2,AUSM,2,2,,Cd,0.02643293181797867,0.026414535778537584,0.00017557154074663556,sa\task1\2\cd_2_2_AUSM.out
sa_task1_g2_x1_y1_AUSM,sa,1,2,AUSM,1,1,,Cl,-1.272097620584095,-1.2721122893049894,1.4148797824331142e-05,sa\task1\2\cl_1_1_AUSM.out
sa_task1_g2_x1_y2_AUSM,sa,1,2,AUSM,1,2,,Cl,-1.268407063340244,-1.2682547806443958,0.00010214730528265466,sa\task1\2\cl_1_2_AUSM.out
sa_task1_g2_x2_y1_AUSM,sa,1,2,AUSM,2,1,,Cl,-1.431262810334531,-1.431195751189494,0.0008777307692125789,sa\task1\2\cl_2_1_AUSM.out
sa_task1_g2_x2_y2_AUSM,sa,1,2,AUSM,2,2,,Cl,-1.427195204515611,-1.4269464652650419,0.000805881534931975,sa\task1\2\cl_2_2_AUSM.out
sa_task1_g2_x1_y1_AUSM,sa,1,2,AUSM,1,1,,Cp_points,150.0,-0.26201989466666664,0.7808208998904249,sa\task1\2\sa_1_1_AUSM.txt
sa_task1_g2_x1_y2_AUSM,sa,1,2,AUSM,1,2,,Cp_points,150.0,-0.26161312133333336,0.7792364840078415,sa\task1\2\sa_1_2_AUSM.txt
sa_task1_g2_x2_y1_AUSM,sa,1,2,AUSM,2,1,,Cp_points,150.0,-0.4963550788666667,1.0846616415732164,sa\task1\2\sa_2_1_AUSM.txt
sa_task1_g2_x2_y2_AUSM,sa,1,2,AUSM,2,2,,Cp_points,150.0,-0.4940879233333334,1.0803520255920465,sa\task1\2\sa_2_2_AUSM.txt
